sk_d_aluno,nome_completo,matricula_dre,sexo,data_nascimento,periodo_ingresso_curso_atual,periodo_ingresso_ufrj,forma_ingresso,modalidade_cota,nota_enem
cd70bea023f752a0564abb6ed08d42c1440f2e33e29914e55e0be1595e24f45a,Heitor da Mata,89,Masculino,18/11/1980,2000/2,2000/2,Vestibular,Ampla Concorrência,
69f59c273b6e669ac32a6dd5e1b2cb63333d8b004f9696447aee2d422ce63763,Sr. Felipe Cirino,90,Masculino,26/09/1980,2000/2,2000/2,Vestibular,Ampla Concorrência,
1da51b8d8ff98f6a48f80ae79fe3ca6c26e1abb7b7d125259255d6d2b875ea08,Mateus da Paz,91,Masculino,20/09/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
8241649609f88ccd2a0a5b233a07a538ec313ff6adf695aa44a969dbca39f67d,Gael Pacheco,92,Masculino,29/03/1977,2000/1,2000/2,Vestibular,Ampla Concorrência,
6e4001871c0cf27c7634ef1dc478408f642410fd3a444e2a88e301f5c4a35a4d,Arthur Gabriel Vargas,93,Masculino,01/08/1978,2000/1,2000/2,Vestibular,Ampla Concorrência,
e3d6c4d4599e00882384ca981ee287ed961fa5f3828e2adb5e9ea890ab0d0525,Maria Júlia da Cunha,94,Masculino,29/09/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
ad48ff99415b2f007dc35b7eb553fd1eb35ebfa2f2f308acd9488eeb86f71fa8,Rael Caldeira,95,Masculino,10/04/1980,2000/2,2000/2,Vestibular,Ampla Concorrência,
7b1a278f5abe8e9da907fc9c29dfd432d60dc76e17b0fabab659d2a508bc65c4,Lívia Carvalho,96,Feminino,31/08/1980,2000/2,2000/2,Vestibular,Ampla Concorrência,
29db0c6782dbd5000559ef4d9e953e300e2b479eed26d887ef3f92b921c06a67,Dra. Alícia da Paz,98,Masculino,26/04/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
8c1f1046219ddd216a023f792356ddf127fce372a72ec9b4cdac989ee5b0b455,Felipe Sá,99,Feminino,04/10/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306,Valentina Vasconcelos,100,Masculino,28/10/1979,2000/2,2000/2,Vestibular,Ampla Concorrência,
16dc368a89b428b2485484313ba67a3912ca03f2b2b42429174a4f8b3dc84e44,Ana Laura Pastor,101,Masculino,25/03/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
37834f2f25762f23e1f74a531cbe445db73d6765ebe60878a7dfbecd7d4af6e1,Vinícius Pires,102,Masculino,30/05/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
454f63ac30c8322997ef025edff6abd23e0dbe7b8a3d5126a894e4a168c1b59b,Melissa Guerra,103,Masculino,03/01/1983,2000/2,2000/2,Vestibular,Ampla Concorrência,
5ef6fdf32513aa7cd11f72beccf132b9224d33f271471fff402742887a171edf,Isabel Correia,104,Masculino,18/02/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
1253e9373e781b7500266caa55150e08e210bc8cd8cc70d89985e3600155e860,Sra. Olivia Nascimento,105,Masculino,17/10/1977,2000/2,2000/2,Vestibular,Ampla Concorrência,
482d9673cfee5de391f97fde4d1c84f9f8d6f2cf0784fcffb958b4032de7236c,Ana Sophia da Mota,106,Masculino,22/11/1978,2000/1,2000/2,Vestibular,Ampla Concorrência,
3346f2bbf6c34bd2dbe28bd1bb657d0e9c37392a1d5ec9929e6a5df4763ddc2d,Valentina Pereira,107,Masculino,23/09/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
9537f32ec7599e1ae953af6c9f929fe747ff9dadf79a9beff1f304c550173011,Ester das Neves,108,Masculino,23/12/1979,2000/1,2000/2,Vestibular,Ampla Concorrência,
0fd42b3f73c448b34940b339f87d07adf116b05c0227aad72e8f0ee90533e699,Davi Luiz Mendes,109,Masculino,23/04/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae,Jade Melo,111,Masculino,29/04/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
b1556dea32e9d0cdbfed038fd7787275775ea40939c146a64e205bcb349ad02f,Otávio Santos,112,Masculino,07/10/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
6c658ee83fb7e812482494f3e416a876f63f418a0b8a1f5e76d47ee4177035cb,Erick Moreira,113,Masculino,27/09/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
9f1f9dce319c4700ef28ec8c53bd3cc8e6abe64c68385479ab89215806a5bdd6,Yasmin Câmara,114,Feminino,18/06/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
28dae7c8bde2f3ca608f86d0e16a214dee74c74bee011cdfdd46bc04b655bc14,Daniel Rocha,115,Masculino,30/11/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
e5b861a6d8a966dfca7e7341cd3eb6be9901688d547a72ebed0b1f5e14f3d08d,Rhavi das Neves,116,Masculino,15/03/1980,2000/1,2000/2,Transferência,Ampla Concorrência,
2ac878b0e2180616993b4b6aa71e61166fdc86c28d47e359d0ee537eb11d46d3,Joaquim Araújo,117,Feminino,08/11/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
85daaf6f7055cd5736287faed9603d712920092c4f8fd0097ec3b650bf27530e,Maria Luísa Abreu,118,Feminino,05/06/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
3038bfb575bee6a0e61945eff8784835bb2c720634e42734678c083994b7f018,Sr. João Miguel Sousa,119,Masculino,16/11/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
2abaca4911e68fa9bfbf3482ee797fd5b9045b841fdff7253557c5fe15de6477,Sr. João Guilherme Barbosa,120,Masculino,28/01/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
89aa1e580023722db67646e8149eb246c748e180e34a1cf679ab0b41a416d904,Henry Cardoso,121,Feminino,14/04/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
1be00341082e25c4e251ca6713e767f7131a2823b0052caf9c9b006ec512f6cb,Dr. João Felipe Aragão,122,Masculino,02/06/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Otávio Mendonça,123,Masculino,09/10/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
6affdae3b3c1aa6aa7689e9b6a7b3225a636aa1ac0025f490cca1285ceaf1487,Gabrielly Abreu,124,Feminino,01/01/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
0f8ef3377b30fc47f96b48247f463a726a802f62f3faa03d56403751d2f66c67,Felipe Leão,125,Masculino,27/06/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
65a699905c02619370bcf9207f5a477c3d67130ca71ec6f750e07fe8d510b084,Valentim Cirino,126,Masculino,16/12/1980,2000/2,2000/2,Vestibular,Ampla Concorrência,
922c7954216ccfe7a61def609305ce1dc7c67e225f873f256d30d7a8ee4f404c,Anthony Gabriel da Conceição,127,Masculino,18/04/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
2747b7c718564ba5f066f0523b03e17f6a496b06851333d2d59ab6d863225848,Sra. Maria Luísa Ferreira,128,Masculino,30/12/1979,2000/1,2000/2,Vestibular,Ampla Concorrência,
6566230e3a3ce3774c1bbc7c18b590ae0f457bbcd511e90e3e7dca2a02e7addc,Sr. Pedro Pastor,129,Masculino,25/11/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
38d66d9692ac590000a91b03a88da1c88d51fab2b78f63171f553ecc551a0c6f,Ester da Costa,130,Masculino,15/02/1962,2001/1,2001/1,Vestibular,Ampla Concorrência,
eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,Felipe Fernandes,131,Masculino,28/07/1982,2001/1,2001/1,Vestibular,Ampla Concorrência,
dbb1ded63bc70732626c5dfe6c7f50ced3d560e970f30b15335ac290358748f6,Anthony Gabriel Castro,132,Masculino,15/09/1980,2001/1,2001/1,Vestibular,Ampla Concorrência,
d2f483672c0239f6d7dd3c9ecee6deacbcd59185855625902a8b1c1a3bd67440,Nina Costa,133,Masculino,21/12/1982,2001/1,2001/1,Vestibular,Ampla Concorrência,
5d389f5e2e34c6b0bad96581c22cee0be36dcf627cd73af4d4cccacd9ef40cc3,Maysa Pastor,134,Feminino,06/06/1983,2001/1,2001/1,Vestibular,Ampla Concorrência,
13671077b66a29874a2578b5240319092ef2a1043228e433e9b006b5e53e7513,Dr. Gabriel Brito,135,Masculino,05/04/1982,2001/1,2001/1,Vestibular,Ampla Concorrência,
36ebe205bcdfc499a25e6923f4450fa8d48196ceb4fa0ce077d9d8ec4a36926d,Maria Isis Machado,136,Masculino,10/09/1981,2001/2,2001/1,Vestibular,Ampla Concorrência,
d80eae6e96d148b3b2abbbc6760077b66c4ea071f847dab573d507a32c4d99a5,Luigi Cavalcante,137,Masculino,03/10/1982,2001/1,2001/1,Vestibular,Ampla Concorrência,
d6a4031733610bb080d0bfa794fcc9dbdcff74834aeaab7c6b927e21e9754037,Cauê Macedo,138,Masculino,17/12/1981,2001/1,2001/1,Vestibular,Ampla Concorrência,
8d27ba37c5d810106b55f3fd6cdb35842007e88754184bfc0e6035f9bcede633,Nathan Rios,139,Masculino,06/12/1982,2001/1,2001/1,Vestibular,Ampla Concorrência,
dbae772db29058a88f9bd830e957c695347c41b6162a7eb9a9ea13def34be56b,Rodrigo Cavalcanti,140,Masculino,29/10/1982,2001/1,2001/1,Vestibular,Ampla Concorrência,
2c7d5490e6050836f8f2f0d496b1c8d6a38d4ffac2b898e6e77751bdcd20ebf5,Isabela Borges,141,Masculino,13/03/1982,2001/1,2001/1,Vestibular,Ampla Concorrência,
d4ee9f58e5860574ca98e3b4839391e7a356328d4bd6afecefc2381df5f5b41b,Agatha Oliveira,142,Masculino,02/10/1982,2001/1,2001/1,Vestibular,Ampla Concorrência,
d6f0c71ef0c88e45e4b3a2118fcb83b0def392d759c901e9d755d0e879028727,Srta. Emanuella Costa,143,Masculino,10/09/1970,2001/1,2001/1,Vestibular,Ampla Concorrência,
5ec1a0c99d428601ce42b407ae9c675e0836a8ba591c8ca6e2a2cf5563d97ff0,Dr. Dom Mendonça,144,Masculino,11/10/1981,2002/1,2001/1,Vestibular,Ampla Concorrência,
be47addbcb8f60566a3d7fd5a36f8195798e2848b368195d9a5d20e007c59a0c,Léo da Luz,145,Masculino,27/05/1982,2001/1,2001/1,Vestibular,Ampla Concorrência,
0a5b046d07f6f971b7776de682f57c5b9cdc8fa060db7ef59de82e721c8098f4,Eloá Teixeira,146,Feminino,01/02/1982,2001/1,2001/1,Vestibular,Ampla Concorrência,
1d28c120568c10e19b9d8abe8b66d0983fa3d2e11ee7751aca50f83c6f4a43aa,Antony Jesus,147,Masculino,06/12/1980,2001/1,2001/1,Vestibular,Ampla Concorrência,
ec2e990b934dde55cb87300629cedfc21b15cd28bbcf77d8bbdc55359d7689da,Luiz Miguel Dias,148,Masculino,20/08/1979,2001/1,2001/1,Vestibular,Ampla Concorrência,
05ada863a4cf9660fd8c68e2295f1d35b2264815f5b605003d6625bd9e0492cf,Sofia Gonçalves,149,Masculino,23/04/1983,2001/1,2001/1,Vestibular,Ampla Concorrência,
9ae2bdd7beedc2e766c6b76585530e16925115707dc7a06ab5ee4aa2776b2c7b,Luiz Henrique Teixeira,150,Feminino,07/11/1982,2001/1,2001/1,Vestibular,Ampla Concorrência,
8e612bd1f5d132a339575b8dafb7842c64614e56bcf3d5ab65a0bc4b34329407,Srta. Luana Almeida,151,Feminino,19/02/1983,2001/1,2001/1,Vestibular,Ampla Concorrência,
043066daf2109523a7490d4bfad4766da5719950a2b5f96d192fc0537e84f32a,Alana Montenegro,152,Masculino,10/03/1980,2001/1,2001/1,Vestibular,Ampla Concorrência,
