sk_d_curso,cod_curso_ingresso,curso_ingresso_ufrj,cod_curso_atual,curso_atual
de7a27b7b614a91967f26071c054f1d999af0bb77d91059634f33a5f5908ea51,3202080200,Desenho Industrial - Programação Visual,3101070000,Bacharelado em Ciência da Computação
c717dd6b70fb7bef709dd52fb15f714736ebbe1665c6338275af952aa27fdeb1,3101060000,Ciências Atuariais / Estatística (Básico),3101070000,Bacharelado em Ciência da Computação
aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,3101070000,Bacharelado em Ciência da Computação,3109000100,Ciência da Computação
7628a1988964d3ebfb28f8549e9999101ed674393e3f807054726009d576cab6,3601011500,Engenharia Elétrica,3109000100,Ciência da Computação
68d6fad7bdc7ba0db11520e72361706b9599c35d4da9e0b40dde5438b6bdf1a8,3601010100,Engenharia Civil,3101070000,Bacharelado em Ciência da Computação
b8c872a2cca1ae805ba65a0a7fcdf296d0361878c23aced0e293b2d946a541da,3171010000,Bach em Ciências Matemáticas e da Terra,3101070000,Bacharelado em Ciência da Computação
667d78e6c44f1a4fbb01b86ca737d30a0d82f41afdf5e3312bd989839deef682,3101060200,Estatística,3109000100,Ciência da Computação
724499b6dd82dd7ddeca797127ecada837240e4af8796a3cb919d015a1db2a5c,3101010200,Licenciatura em Matemática,3101070000,Bacharelado em Ciência da Computação
aecefcfff66874c5c8bde83dd95569627b9690e816927751ecb606c8a682076b,3601010900,Engenharia Eletrônica e de Computação,3101070000,Bacharelado em Ciência da Computação
71893a90c396f0286a8af5c47f89a86b4bf5b9c28660f0eb9c468b432957b8c1,3101010200,Licenciatura em Matemática,3109000100,Ciência da Computação
9710591abe42a6159dff7b65f8b42812ee3cfb8c19057046fde80bc65f189c59,3105040000,Meteorologia,3101070000,Bacharelado em Ciência da Computação
4dce300cff0e9be5e52506ec008023b64e30fc531bc00b1518cd7c5d06cb9cca,3601011400,Engenharia (Ciclo Básico),3109000100,Ciência da Computação
67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,3171010000,Bach em Ciências Matemáticas e da Terra,3109000100,Ciência da Computação
daf83baa2a27b7f833850f10a54879fb7a4e308cba1a2a6cdd6ad069038e586b,3101050000,Matemática Aplicada,3109000100,Ciência da Computação
f51dfb141724e65177c639e09f562e2adf566801ef3cbb190c8c0fde26749633,3601010700,Engenharia de Produção,3109000100,Ciência da Computação
ee4f43e8dbb44978dcb9408d559b87f8af9d22fb90a06c306aa6797331e79987,3103010200,Licenciatura em Física,3109000100,Ciência da Computação
b4e29ed3a122254f6086a4c55107b33ab9d5b32bc0e57de35915df469ac7080c,3601013000,Engenharia de Controle e Automação,3109000100,Ciência da Computação
12d60502c1ed8e17f86645fcb5cf4dbae65b9ff12c6a117f5b0f2e01285ffed9,3602010100,Engenharia Química,3101070000,Bacharelado em Ciência da Computação
055bd52c6bfe698104c524774fce4fd3e02dc1a43a65ac8ebe0328c0343d78eb,3601010500,Engenharia Metalúrgica,3109000100,Ciência da Computação
5bdd741dc81408b926aaadcb3fdde3a7cdd9b2e7c6bd441bed4a1a6c94a5f76c,3601010800,Engenharia de Materiais,3101070000,Bacharelado em Ciência da Computação
d0b6e5d5a159399af0f59a2da1ec4a120e6f42bc2292393c46001485d3c090d7,3601012000,Engenharia de Computação e Informação,3109000100,Ciência da Computação
c216b2cd8ed12140860d05cec92ed3bfa61ed8d80b78c2f83e596e21c4e4f306,3601011600,Engenharia Naval e Oceânica,3109000100,Ciência da Computação
be4b8bc34646e59e4904ebe38bedc46b30b7ae36ff32971a4a055b0304ea52e3,3601011400,Engenharia (Ciclo Básico),3101070000,Bacharelado em Ciência da Computação
87f88e8ab591fdaab7a295383be961d2e901281a266cb06ec666d5808f644b20,3104010400,Química,3109000100,Ciência da Computação
0b168aa6022ed79fd33dc42ce8595ebdf61f523058a3a4f7453e4c21ef91153b,3601010700,Engenharia de Produção,3101070000,Bacharelado em Ciência da Computação
afc556bb0f426ce9b175587e43b40ed80adaa268c4a8f8eb090f78ea3686806c,3601010900,Engenharia Eletrônica e de Computação,3109000100,Ciência da Computação
aebe6fdcc5f91482262910bbbf4ceb4572afe446c0375ef4eaf11d071ac74d54,3601010400,Engenharia Mecânica,3109000100,Ciência da Computação
fa4774a25aa0ddbd7d0d42575b3d2a073516ded8b9d1031ebfd60e4ed4de43a8,3103010100,Física,3109000100,Ciência da Computação
9bcc0d6c633b0d86be6052599bd35b3aa0b2374b59f1d0712e6b11f3322b36d0,3105040000,Meteorologia,3109000100,Ciência da Computação
5127c373567f7239dd95022d2bb8c8c8977bb3f088da469fed2707de30408ea5,3103010200,Licenciatura em Física,3101070000,Bacharelado em Ciência da Computação
e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,3171000000,Ciências Matemáticas e da Terra,3109000100,Ciência da Computação
af68faa899cf299c7e43f70d5b275114f02f6e199eab7fad2399397403cd2451,3109000100,Ciência da Computação,3109000100,Ciência da Computação
